,ID Place of Birth,Place of Birth,ID Age,Age,ID Year,Year,Birthplace,Birthplace Moe,Geography,ID Geography,Slug Geography
0,0,Born In State of Residence,0,Under 5 Years,2019,2019,25,20.0,"Gardiner, MT",16000US3029950,gardiner-mt
1,0,Born In State of Residence,1,5 to 17 Years,2019,2019,36,33.0,"Gardiner, MT",16000US3029950,gardiner-mt
2,0,Born In State of Residence,2,18 to 24 Years,2019,2019,15,14.0,"Gardiner, MT",16000US3029950,gardiner-mt
3,0,Born In State of Residence,3,25 to 34 Years,2019,2019,40,37.0,"Gardiner, MT",16000US3029950,gardiner-mt
4,0,Born In State of Residence,4,35 to 44 Years,2019,2019,19,22.0,"Gardiner, MT",16000US3029950,gardiner-mt
5,0,Born In State of Residence,5,45 to 54 Years,2019,2019,12,12.0,"Gardiner, MT",16000US3029950,gardiner-mt
6,0,Born In State of Residence,6,55 to 59 Years,2019,2019,3,5.0,"Gardiner, MT",16000US3029950,gardiner-mt
7,0,Born In State of Residence,7,60 & 61 Years,2019,2019,4,5.0,"Gardiner, MT",16000US3029950,gardiner-mt
8,0,Born In State of Residence,8,62 to 64 Years,2019,2019,4,7.0,"Gardiner, MT",16000US3029950,gardiner-mt
9,0,Born In State of Residence,9,65 to 74 Years,2019,2019,23,24.0,"Gardiner, MT",16000US3029950,gardiner-mt
10,0,Born In State of Residence,10,75 Years & Over,2019,2019,5,6.0,"Gardiner, MT",16000US3029950,gardiner-mt
11,1,Born In Other State In The United States,0,Under 5 Years,2019,2019,4,7.0,"Gardiner, MT",16000US3029950,gardiner-mt
12,1,Born In Other State In The United States,1,5 to 17 Years,2019,2019,12,13.0,"Gardiner, MT",16000US3029950,gardiner-mt
13,1,Born In Other State In The United States,2,18 to 24 Years,2019,2019,81,63.00000000000001,"Gardiner, MT",16000US3029950,gardiner-mt
14,1,Born In Other State In The United States,3,25 to 34 Years,2019,2019,81,54.0,"Gardiner, MT",16000US3029950,gardiner-mt
15,1,Born In Other State In The United States,4,35 to 44 Years,2019,2019,148,56.0,"Gardiner, MT",16000US3029950,gardiner-mt
16,1,Born In Other State In The United States,5,45 to 54 Years,2019,2019,105,52.0,"Gardiner, MT",16000US3029950,gardiner-mt
17,1,Born In Other State In The United States,6,55 to 59 Years,2019,2019,81,44.0,"Gardiner, MT",16000US3029950,gardiner-mt
18,1,Born In Other State In The United States,7,60 & 61 Years,2019,2019,25,28.0,"Gardiner, MT",16000US3029950,gardiner-mt
19,1,Born In Other State In The United States,8,62 to 64 Years,2019,2019,18,22.0,"Gardiner, MT",16000US3029950,gardiner-mt
20,1,Born In Other State In The United States,9,65 to 74 Years,2019,2019,19,11.0,"Gardiner, MT",16000US3029950,gardiner-mt
21,1,Born In Other State In The United States,10,75 Years & Over,2019,2019,30,22.0,"Gardiner, MT",16000US3029950,gardiner-mt
22,2,Native; Born Outside The United States,0,Under 5 Years,2019,2019,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
23,2,Native; Born Outside The United States,1,5 to 17 Years,2019,2019,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
24,2,Native; Born Outside The United States,2,18 to 24 Years,2019,2019,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
25,2,Native; Born Outside The United States,3,25 to 34 Years,2019,2019,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
26,2,Native; Born Outside The United States,4,35 to 44 Years,2019,2019,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
27,2,Native; Born Outside The United States,5,45 to 54 Years,2019,2019,28,36.0,"Gardiner, MT",16000US3029950,gardiner-mt
28,2,Native; Born Outside The United States,6,55 to 59 Years,2019,2019,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
29,2,Native; Born Outside The United States,7,60 & 61 Years,2019,2019,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
30,2,Native; Born Outside The United States,8,62 to 64 Years,2019,2019,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
31,2,Native; Born Outside The United States,9,65 to 74 Years,2019,2019,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
32,2,Native; Born Outside The United States,10,75 Years & Over,2019,2019,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
33,3,Foreign Born,0,Under 5 Years,2019,2019,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
34,3,Foreign Born,1,5 to 17 Years,2019,2019,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
35,3,Foreign Born,2,18 to 24 Years,2019,2019,18,30.000000000000004,"Gardiner, MT",16000US3029950,gardiner-mt
36,3,Foreign Born,3,25 to 34 Years,2019,2019,14,20.0,"Gardiner, MT",16000US3029950,gardiner-mt
37,3,Foreign Born,4,35 to 44 Years,2019,2019,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
38,3,Foreign Born,5,45 to 54 Years,2019,2019,23,40.0,"Gardiner, MT",16000US3029950,gardiner-mt
39,3,Foreign Born,6,55 to 59 Years,2019,2019,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
40,3,Foreign Born,7,60 & 61 Years,2019,2019,6,6.0,"Gardiner, MT",16000US3029950,gardiner-mt
41,3,Foreign Born,8,62 to 64 Years,2019,2019,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
42,3,Foreign Born,9,65 to 74 Years,2019,2019,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
43,3,Foreign Born,10,75 Years & Over,2019,2019,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
44,0,Born In State of Residence,0,Under 5 Years,2018,2018,51,40.0,"Gardiner, MT",16000US3029950,gardiner-mt
45,0,Born In State of Residence,1,5 to 17 Years,2018,2018,80,59.0,"Gardiner, MT",16000US3029950,gardiner-mt
46,0,Born In State of Residence,2,18 to 24 Years,2018,2018,10,12.0,"Gardiner, MT",16000US3029950,gardiner-mt
47,0,Born In State of Residence,3,25 to 34 Years,2018,2018,19,18.0,"Gardiner, MT",16000US3029950,gardiner-mt
48,0,Born In State of Residence,4,35 to 44 Years,2018,2018,17,17.0,"Gardiner, MT",16000US3029950,gardiner-mt
49,0,Born In State of Residence,5,45 to 54 Years,2018,2018,28,20.0,"Gardiner, MT",16000US3029950,gardiner-mt
50,0,Born In State of Residence,6,55 to 59 Years,2018,2018,56,75.0,"Gardiner, MT",16000US3029950,gardiner-mt
51,0,Born In State of Residence,7,60 & 61 Years,2018,2018,4,5.0,"Gardiner, MT",16000US3029950,gardiner-mt
52,0,Born In State of Residence,8,62 to 64 Years,2018,2018,4,6.0,"Gardiner, MT",16000US3029950,gardiner-mt
53,0,Born In State of Residence,9,65 to 74 Years,2018,2018,18,18.0,"Gardiner, MT",16000US3029950,gardiner-mt
54,0,Born In State of Residence,10,75 Years & Over,2018,2018,5,6.0,"Gardiner, MT",16000US3029950,gardiner-mt
55,1,Born In Other State In The United States,0,Under 5 Years,2018,2018,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
56,1,Born In Other State In The United States,1,5 to 17 Years,2018,2018,31,24.0,"Gardiner, MT",16000US3029950,gardiner-mt
57,1,Born In Other State In The United States,2,18 to 24 Years,2018,2018,80,66.0,"Gardiner, MT",16000US3029950,gardiner-mt
58,1,Born In Other State In The United States,3,25 to 34 Years,2018,2018,89,47.0,"Gardiner, MT",16000US3029950,gardiner-mt
59,1,Born In Other State In The United States,4,35 to 44 Years,2018,2018,107,45.0,"Gardiner, MT",16000US3029950,gardiner-mt
60,1,Born In Other State In The United States,5,45 to 54 Years,2018,2018,130,57.00000000000001,"Gardiner, MT",16000US3029950,gardiner-mt
61,1,Born In Other State In The United States,6,55 to 59 Years,2018,2018,70,37.0,"Gardiner, MT",16000US3029950,gardiner-mt
62,1,Born In Other State In The United States,7,60 & 61 Years,2018,2018,23,25.0,"Gardiner, MT",16000US3029950,gardiner-mt
63,1,Born In Other State In The United States,8,62 to 64 Years,2018,2018,3,5.0,"Gardiner, MT",16000US3029950,gardiner-mt
64,1,Born In Other State In The United States,9,65 to 74 Years,2018,2018,38,28.0,"Gardiner, MT",16000US3029950,gardiner-mt
65,1,Born In Other State In The United States,10,75 Years & Over,2018,2018,46,25.0,"Gardiner, MT",16000US3029950,gardiner-mt
66,2,Native; Born Outside The United States,0,Under 5 Years,2018,2018,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
67,2,Native; Born Outside The United States,1,5 to 17 Years,2018,2018,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
68,2,Native; Born Outside The United States,2,18 to 24 Years,2018,2018,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
69,2,Native; Born Outside The United States,3,25 to 34 Years,2018,2018,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
70,2,Native; Born Outside The United States,4,35 to 44 Years,2018,2018,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
71,2,Native; Born Outside The United States,5,45 to 54 Years,2018,2018,8,13.0,"Gardiner, MT",16000US3029950,gardiner-mt
