,ID Group,Group,ID Industry,Industry,ID Year,Year,ID State,State,Workforce by Industry and Gender,Workforce by Industry and Gender Moe,Geography,ID Geography,Slug Geography
0,0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2019,2019,04000US30,Montana,16,17.464249196572982,"Gardiner, MT",16000US3029950,gardiner-mt
1,0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2019,2019,04000US30,Montana,4,11.6619037896906,"Gardiner, MT",16000US3029950,gardiner-mt
2,1,Construction (Group),2,Construction,2019,2019,04000US30,Montana,12,9.848857801796104,"Gardiner, MT",16000US3029950,gardiner-mt
3,2,Manufacturing (Group),3,Manufacturing,2019,2019,04000US30,Montana,13,22.360679774997898,"Gardiner, MT",16000US3029950,gardiner-mt
4,3,Wholesale Trade (Group),4,Wholesale Trade,2019,2019,04000US30,Montana,0,14.142135623730951,"Gardiner, MT",16000US3029950,gardiner-mt
5,4,Retail Trade (Group),5,Retail Trade,2019,2019,04000US30,Montana,105,68.00735254367721,"Gardiner, MT",16000US3029950,gardiner-mt
6,5,"Transportation & Warehousing, & Utilities",6,Transportation & Warehousing,2019,2019,04000US30,Montana,0,14.142135623730951,"Gardiner, MT",16000US3029950,gardiner-mt
7,5,"Transportation & Warehousing, & Utilities",7,Utilities,2019,2019,04000US30,Montana,0,14.142135623730951,"Gardiner, MT",16000US3029950,gardiner-mt
8,6,Information (Group),8,Information,2019,2019,04000US30,Montana,0,14.142135623730951,"Gardiner, MT",16000US3029950,gardiner-mt
9,7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,Finance & Insurance,2019,2019,04000US30,Montana,0,14.142135623730951,"Gardiner, MT",16000US3029950,gardiner-mt
10,7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,Real Estate & Rental & Leasing,2019,2019,04000US30,Montana,12,21.470910553583888,"Gardiner, MT",16000US3029950,gardiner-mt
11,8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2019,2019,04000US30,Montana,24,25.495097567963924,"Gardiner, MT",16000US3029950,gardiner-mt
12,8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,Management of Companies & Enterprises,2019,2019,04000US30,Montana,0,14.142135623730951,"Gardiner, MT",16000US3029950,gardiner-mt
13,8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,Administrative & Support & Waste Management Services,2019,2019,04000US30,Montana,41,37.73592452822641,"Gardiner, MT",16000US3029950,gardiner-mt
14,9,"Educational Services, & Health Care & Social Assistance",14,Educational Services,2019,2019,04000US30,Montana,51,47.4236228055175,"Gardiner, MT",16000US3029950,gardiner-mt
15,9,"Educational Services, & Health Care & Social Assistance",15,Health Care & Social Assistance,2019,2019,04000US30,Montana,3,10.770329614269007,"Gardiner, MT",16000US3029950,gardiner-mt
16,10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2019,2019,04000US30,Montana,79,42.720018726587654,"Gardiner, MT",16000US3029950,gardiner-mt
17,10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,Accommodation & Food Services,2019,2019,04000US30,Montana,175,85.42833253669417,"Gardiner, MT",16000US3029950,gardiner-mt
18,11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2019,2019,04000US30,Montana,44,33.01514803843836,"Gardiner, MT",16000US3029950,gardiner-mt
19,12,Public Administration (Group),19,Public Administration,2019,2019,04000US30,Montana,62,38.07886552931954,"Gardiner, MT",16000US3029950,gardiner-mt
20,0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2018,2018,04000US30,Montana,11,12.083045973594574,"Gardiner, MT",16000US3029950,gardiner-mt
