,ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population,Hispanic Population Moe,Geography,ID Geography,Slug Geography
0,0,White Alone,0,Not Hispanic or Latino,2019,2019,778,158.0,"Gardiner, MT",16000US3029950,gardiner-mt
1,0,White Alone,1,Hispanic or Latino,2019,2019,19,23.0,"Gardiner, MT",16000US3029950,gardiner-mt
2,1,Black or African American Alone,0,Not Hispanic or Latino,2019,2019,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
3,1,Black or African American Alone,1,Hispanic or Latino,2019,2019,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
4,2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2019,2019,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
5,2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2019,2019,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
6,3,Asian Alone,0,Not Hispanic or Latino,2019,2019,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
7,3,Asian Alone,1,Hispanic or Latino,2019,2019,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
8,4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2019,2019,19,39.0,"Gardiner, MT",16000US3029950,gardiner-mt
9,4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2019,2019,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
10,5,Some Other Race Alone,0,Not Hispanic or Latino,2019,2019,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
11,5,Some Other Race Alone,1,Hispanic or Latino,2019,2019,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
12,6,Two or More Races,0,Not Hispanic or Latino,2019,2019,44,44.14748010928823,"Gardiner, MT",16000US3029950,gardiner-mt
13,6,Two or More Races,1,Hispanic or Latino,2019,2019,19,32.57299494980466,"Gardiner, MT",16000US3029950,gardiner-mt
14,0,White Alone,0,Not Hispanic or Latino,2018,2018,903,186.0,"Gardiner, MT",16000US3029950,gardiner-mt
15,0,White Alone,1,Hispanic or Latino,2018,2018,27,26.0,"Gardiner, MT",16000US3029950,gardiner-mt
16,1,Black or African American Alone,0,Not Hispanic or Latino,2018,2018,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
17,1,Black or African American Alone,1,Hispanic or Latino,2018,2018,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
18,2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2018,2018,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
19,2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2018,2018,3,4.0,"Gardiner, MT",16000US3029950,gardiner-mt
20,3,Asian Alone,0,Not Hispanic or Latino,2018,2018,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
21,3,Asian Alone,1,Hispanic or Latino,2018,2018,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
22,4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2018,2018,9,14.0,"Gardiner, MT",16000US3029950,gardiner-mt
23,4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2018,2018,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
24,5,Some Other Race Alone,0,Not Hispanic or Latino,2018,2018,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
25,5,Some Other Race Alone,1,Hispanic or Latino,2018,2018,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
26,6,Two or More Races,0,Not Hispanic or Latino,2018,2018,17,21.470910553583888,"Gardiner, MT",16000US3029950,gardiner-mt
27,6,Two or More Races,1,Hispanic or Latino,2018,2018,12,22.360679774997898,"Gardiner, MT",16000US3029950,gardiner-mt
28,0,White Alone,0,Not Hispanic or Latino,2017,2017,969,191.0,"Gardiner, MT",16000US3029950,gardiner-mt
29,0,White Alone,1,Hispanic or Latino,2017,2017,45,38.0,"Gardiner, MT",16000US3029950,gardiner-mt
30,1,Black or African American Alone,0,Not Hispanic or Latino,2017,2017,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
31,1,Black or African American Alone,1,Hispanic or Latino,2017,2017,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
32,2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2017,2017,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
33,2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2017,2017,2,4.0,"Gardiner, MT",16000US3029950,gardiner-mt
34,3,Asian Alone,0,Not Hispanic or Latino,2017,2017,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
35,3,Asian Alone,1,Hispanic or Latino,2017,2017,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
36,4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2017,2017,12,22.0,"Gardiner, MT",16000US3029950,gardiner-mt
37,4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2017,2017,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
38,5,Some Other Race Alone,0,Not Hispanic or Latino,2017,2017,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
39,5,Some Other Race Alone,1,Hispanic or Latino,2017,2017,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
40,6,Two or More Races,0,Not Hispanic or Latino,2017,2017,6,14.142135623730951,"Gardiner, MT",16000US3029950,gardiner-mt
41,6,Two or More Races,1,Hispanic or Latino,2017,2017,12,19.72308292331602,"Gardiner, MT",16000US3029950,gardiner-mt
42,0,White Alone,0,Not Hispanic or Latino,2016,2016,938,213.99999999999997,"Gardiner, MT",16000US3029950,gardiner-mt
43,0,White Alone,1,Hispanic or Latino,2016,2016,91,62.0,"Gardiner, MT",16000US3029950,gardiner-mt
44,1,Black or African American Alone,0,Not Hispanic or Latino,2016,2016,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
45,1,Black or African American Alone,1,Hispanic or Latino,2016,2016,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
46,2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2016,2016,5,9.0,"Gardiner, MT",16000US3029950,gardiner-mt
47,2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2016,2016,3,5.0,"Gardiner, MT",16000US3029950,gardiner-mt
48,3,Asian Alone,0,Not Hispanic or Latino,2016,2016,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
49,3,Asian Alone,1,Hispanic or Latino,2016,2016,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
50,4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2016,2016,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
51,4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2016,2016,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
52,5,Some Other Race Alone,0,Not Hispanic or Latino,2016,2016,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
53,5,Some Other Race Alone,1,Hispanic or Latino,2016,2016,13,22.0,"Gardiner, MT",16000US3029950,gardiner-mt
54,6,Two or More Races,0,Not Hispanic or Latino,2016,2016,7,14.866068747318506,"Gardiner, MT",16000US3029950,gardiner-mt
55,6,Two or More Races,1,Hispanic or Latino,2016,2016,0,14.142135623730951,"Gardiner, MT",16000US3029950,gardiner-mt
56,0,White Alone,0,Not Hispanic or Latino,2015,2015,948,231.99999999999997,"Gardiner, MT",16000US3029950,gardiner-mt
57,0,White Alone,1,Hispanic or Latino,2015,2015,111,82.0,"Gardiner, MT",16000US3029950,gardiner-mt
58,1,Black or African American Alone,0,Not Hispanic or Latino,2015,2015,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
59,1,Black or African American Alone,1,Hispanic or Latino,2015,2015,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
60,2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2015,2015,10,17.0,"Gardiner, MT",16000US3029950,gardiner-mt
61,2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2015,2015,4,7.0,"Gardiner, MT",16000US3029950,gardiner-mt
62,3,Asian Alone,0,Not Hispanic or Latino,2015,2015,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
63,3,Asian Alone,1,Hispanic or Latino,2015,2015,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
64,4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2015,2015,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
65,4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2015,2015,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
66,5,Some Other Race Alone,0,Not Hispanic or Latino,2015,2015,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
67,5,Some Other Race Alone,1,Hispanic or Latino,2015,2015,14,23.0,"Gardiner, MT",16000US3029950,gardiner-mt
68,6,Two or More Races,0,Not Hispanic or Latino,2015,2015,12,20.591260281973998,"Gardiner, MT",16000US3029950,gardiner-mt
69,6,Two or More Races,1,Hispanic or Latino,2015,2015,0,14.142135623730951,"Gardiner, MT",16000US3029950,gardiner-mt
70,0,White Alone,0,Not Hispanic or Latino,2014,2014,1098,209.0,"Gardiner, MT",16000US3029950,gardiner-mt
71,0,White Alone,1,Hispanic or Latino,2014,2014,99,77.0,"Gardiner, MT",16000US3029950,gardiner-mt
72,1,Black or African American Alone,0,Not Hispanic or Latino,2014,2014,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
73,1,Black or African American Alone,1,Hispanic or Latino,2014,2014,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
74,2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2014,2014,10,20.0,"Gardiner, MT",16000US3029950,gardiner-mt
75,2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2014,2014,3,5.0,"Gardiner, MT",16000US3029950,gardiner-mt
