,ID Group,Group,ID Industry,Industry,ID Year,Year,ID State,State,Workforce by Industry and Gender,Workforce by Industry and Gender Moe,Geography,ID Geography,Slug Geography
0,0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2019,2019,04000US30,Montana,20,28.79236009777594,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
1,0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2019,2019,04000US30,Montana,0,14.142135623730951,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
2,1,Construction (Group),2,Construction,2019,2019,04000US30,Montana,23,24.166091947189148,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
3,2,Manufacturing (Group),3,Manufacturing,2019,2019,04000US30,Montana,0,14.142135623730951,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
4,3,Wholesale Trade (Group),4,Wholesale Trade,2019,2019,04000US30,Montana,10,18.027756377319946,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
5,4,Retail Trade (Group),5,Retail Trade,2019,2019,04000US30,Montana,74,43.73785545725807,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
6,5,"Transportation & Warehousing, & Utilities",6,Transportation & Warehousing,2019,2019,04000US30,Montana,74,40.311288741492746,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
7,5,"Transportation & Warehousing, & Utilities",7,Utilities,2019,2019,04000US30,Montana,0,14.142135623730951,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
8,6,Information (Group),8,Information,2019,2019,04000US30,Montana,10,18.867962264113206,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
9,7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,Finance & Insurance,2019,2019,04000US30,Montana,21,23.259406699226012,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
10,7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,Real Estate & Rental & Leasing,2019,2019,04000US30,Montana,13,19.72308292331602,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
11,8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2019,2019,04000US30,Montana,0,14.142135623730951,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
12,8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,Management of Companies & Enterprises,2019,2019,04000US30,Montana,0,14.142135623730951,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
13,8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,Administrative & Support & Waste Management Services,2019,2019,04000US30,Montana,10,19.72308292331602,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
14,9,"Educational Services, & Health Care & Social Assistance",14,Educational Services,2019,2019,04000US30,Montana,21,31.78049716414141,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
15,9,"Educational Services, & Health Care & Social Assistance",15,Health Care & Social Assistance,2019,2019,04000US30,Montana,12,10.295630140986999,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
16,10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2019,2019,04000US30,Montana,25,30.083217912982644,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
17,10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,Accommodation & Food Services,2019,2019,04000US30,Montana,228,80.62257748298549,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
18,11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2019,2019,04000US30,Montana,0,14.142135623730951,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
19,12,Public Administration (Group),19,Public Administration,2019,2019,04000US30,Montana,16,26.0,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
20,0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2018,2018,04000US30,Montana,12,18.867962264113206,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
21,0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2018,2018,04000US30,Montana,0,14.142135623730951,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
22,1,Construction (Group),2,Construction,2018,2018,04000US30,Montana,37,28.017851452243804,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
23,2,Manufacturing (Group),3,Manufacturing,2018,2018,04000US30,Montana,9,18.867962264113206,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
24,3,Wholesale Trade (Group),4,Wholesale Trade,2018,2018,04000US30,Montana,11,19.72308292331602,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
25,4,Retail Trade (Group),5,Retail Trade,2018,2018,04000US30,Montana,99,44.598206241955516,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
26,5,"Transportation & Warehousing, & Utilities",6,Transportation & Warehousing,2018,2018,04000US30,Montana,49,34.71310991541956,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
27,5,"Transportation & Warehousing, & Utilities",7,Utilities,2018,2018,04000US30,Montana,4,11.180339887498949,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
28,6,Information (Group),8,Information,2018,2018,04000US30,Montana,10,18.867962264113206,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
29,7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,Finance & Insurance,2018,2018,04000US30,Montana,12,18.027756377319946,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
30,7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,Real Estate & Rental & Leasing,2018,2018,04000US30,Montana,13,18.867962264113206,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
31,8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2018,2018,04000US30,Montana,0,14.142135623730951,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
32,8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,Management of Companies & Enterprises,2018,2018,04000US30,Montana,0,14.142135623730951,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
33,8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,Administrative & Support & Waste Management Services,2018,2018,04000US30,Montana,10,18.867962264113206,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
34,9,"Educational Services, & Health Care & Social Assistance",14,Educational Services,2018,2018,04000US30,Montana,17,20.248456731316587,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
35,9,"Educational Services, & Health Care & Social Assistance",15,Health Care & Social Assistance,2018,2018,04000US30,Montana,14,10.770329614269007,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
36,10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2018,2018,04000US30,Montana,40,30.610455730027937,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
37,10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,Accommodation & Food Services,2018,2018,04000US30,Montana,249,85.27602242131137,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
38,11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2018,2018,04000US30,Montana,11,19.72308292331602,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
39,12,Public Administration (Group),19,Public Administration,2018,2018,04000US30,Montana,16,19.4164878389476,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
40,0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2017,2017,04000US30,Montana,15,25.079872407968907,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
