,ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population,Hispanic Population Moe,Geography,ID Geography,Slug Geography
0,0,White Alone,0,Not Hispanic or Latino,2019,2019,920,194.0,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
1,0,White Alone,1,Hispanic or Latino,2019,2019,0,10.0,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
2,1,Black or African American Alone,0,Not Hispanic or Latino,2019,2019,0,10.0,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
3,1,Black or African American Alone,1,Hispanic or Latino,2019,2019,0,10.0,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
4,2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2019,2019,0,10.0,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
5,2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2019,2019,0,10.0,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
6,3,Asian Alone,0,Not Hispanic or Latino,2019,2019,16,24.0,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
7,3,Asian Alone,1,Hispanic or Latino,2019,2019,0,10.0,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
8,4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2019,2019,0,10.0,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
9,4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2019,2019,0,10.0,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
10,5,Some Other Race Alone,0,Not Hispanic or Latino,2019,2019,0,10.0,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
11,5,Some Other Race Alone,1,Hispanic or Latino,2019,2019,0,10.0,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
12,6,Two or More Races,0,Not Hispanic or Latino,2019,2019,0,14.142135623730951,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
13,6,Two or More Races,1,Hispanic or Latino,2019,2019,0,14.142135623730951,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
14,0,White Alone,0,Not Hispanic or Latino,2018,2018,981,212.0,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
15,0,White Alone,1,Hispanic or Latino,2018,2018,0,10.0,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
16,1,Black or African American Alone,0,Not Hispanic or Latino,2018,2018,10,16.0,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
17,1,Black or African American Alone,1,Hispanic or Latino,2018,2018,0,10.0,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
18,2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2018,2018,12,20.0,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
19,2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2018,2018,0,10.0,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
20,3,Asian Alone,0,Not Hispanic or Latino,2018,2018,13,19.0,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
21,3,Asian Alone,1,Hispanic or Latino,2018,2018,0,10.0,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
22,4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2018,2018,0,10.0,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
23,4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2018,2018,0,10.0,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
24,5,Some Other Race Alone,0,Not Hispanic or Latino,2018,2018,0,10.0,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
25,5,Some Other Race Alone,1,Hispanic or Latino,2018,2018,0,10.0,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
26,6,Two or More Races,0,Not Hispanic or Latino,2018,2018,0,14.142135623730951,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
27,6,Two or More Races,1,Hispanic or Latino,2018,2018,0,14.142135623730951,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
28,0,White Alone,0,Not Hispanic or Latino,2017,2017,1058,185.0,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
