,ID Occupied By,Occupied By,ID Year,Year,Household Ownership,Household Ownership Moe,Geography,ID Geography,Slug Geography
0,0,Owner Occupied,2019,2019,77274381,377633.0,United States,01000US,united-states
1,1,Renter Occupied,2019,2019,43481667,144458.0,United States,01000US,united-states
2,0,Owner Occupied,2019,2019,291471,2164.0,Montana,04000US30,montana
3,1,Renter Occupied,2019,2019,136400,2173.0,Montana,04000US30,montana
4,0,Owner Occupied,2019,2019,26781,599.0,"Gallatin County, MT",05000US30031,gallatin-county-mt
5,1,Renter Occupied,2019,2019,16996,719.0,"Gallatin County, MT",05000US30031,gallatin-county-mt
6,0,Owner Occupied,2019,2019,227,72.0,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
7,1,Renter Occupied,2019,2019,243,66.0,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
8,0,Owner Occupied,2019,2019,26781,599.0,"Bozeman, MT",31000US14580,bozeman-mt-31000US14580
9,1,Renter Occupied,2019,2019,16996,719.0,"Bozeman, MT",31000US14580,bozeman-mt-31000US14580
10,0,Owner Occupied,2019,2019,39739,713.0,"Bozeman City PUMA, MT",79500US3000500,bozeman-city-puma-mt
11,1,Renter Occupied,2019,2019,21671,852.0,"Bozeman City PUMA, MT",79500US3000500,bozeman-city-puma-mt
12,0,Owner Occupied,2018,2018,76444810,367132.0,United States,01000US,united-states
13,1,Renter Occupied,2018,2018,43285318,139467.0,United States,01000US,united-states
14,0,Owner Occupied,2018,2018,286553,2349.0,Montana,04000US30,montana
15,1,Renter Occupied,2018,2018,136687,2049.0,Montana,04000US30,montana
16,0,Owner Occupied,2018,2018,25731,549.0,"Gallatin County, MT",05000US30031,gallatin-county-mt
17,1,Renter Occupied,2018,2018,16254,699.0,"Gallatin County, MT",05000US30031,gallatin-county-mt
18,0,Owner Occupied,2018,2018,226,60.00000000000001,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
19,1,Renter Occupied,2018,2018,314,73.0,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
20,0,Owner Occupied,2018,2018,25731,549.0,"Bozeman, MT",31000US14580,bozeman-mt-31000US14580
21,1,Renter Occupied,2018,2018,16254,699.0,"Bozeman, MT",31000US14580,bozeman-mt-31000US14580
22,0,Owner Occupied,2018,2018,38682,669.0,"Bozeman City PUMA, MT",79500US3000500,bozeman-city-puma-mt
23,1,Renter Occupied,2018,2018,20788,759.0,"Bozeman City PUMA, MT",79500US3000500,bozeman-city-puma-mt
24,0,Owner Occupied,2017,2017,75833135,358989.0,United States,01000US,united-states
25,1,Renter Occupied,2017,2017,42992786,134442.0,United States,01000US,united-states
26,0,Owner Occupied,2017,2017,284168,2256.0,Montana,04000US30,montana
27,1,Renter Occupied,2017,2017,135807,1774.9999999999998,Montana,04000US30,montana
28,0,Owner Occupied,2017,2017,25089,510.0,"Gallatin County, MT",05000US30031,gallatin-county-mt
29,1,Renter Occupied,2017,2017,15634,523.0,"Gallatin County, MT",05000US30031,gallatin-county-mt
30,0,Owner Occupied,2017,2017,228,54.99999999999999,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
31,1,Renter Occupied,2017,2017,374,83.0,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
32,0,Owner Occupied,2017,2017,25089,510.0,"Bozeman, MT",31000US14580,bozeman-mt-31000US14580
33,1,Renter Occupied,2017,2017,15634,523.0,"Bozeman, MT",31000US14580,bozeman-mt-31000US14580
34,0,Owner Occupied,2017,2017,38147,626.0,"Bozeman City PUMA, MT",79500US3000500,bozeman-city-puma-mt
35,1,Renter Occupied,2017,2017,20021,632.0,"Bozeman City PUMA, MT",79500US3000500,bozeman-city-puma-mt
36,0,Owner Occupied,2016,2016,74881068,360470.0,United States,01000US,united-states
37,1,Renter Occupied,2016,2016,42835169,142056.0,United States,01000US,united-states
38,0,Owner Occupied,2016,2016,277307,2223.0,Montana,04000US30,montana
39,1,Renter Occupied,2016,2016,135346,1723.0,Montana,04000US30,montana
40,0,Owner Occupied,2016,2016,23577,591.0,"Gallatin County, MT",05000US30031,gallatin-county-mt
41,1,Renter Occupied,2016,2016,15204,663.0,"Gallatin County, MT",05000US30031,gallatin-county-mt
42,0,Owner Occupied,2016,2016,228,51.0,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
43,1,Renter Occupied,2016,2016,400,92.0,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
44,0,Owner Occupied,2016,2016,23577,591.0,"Bozeman, MT",31000US14580,bozeman-mt-31000US14580
45,1,Renter Occupied,2016,2016,15204,663.0,"Bozeman, MT",31000US14580,bozeman-mt-31000US14580
46,0,Owner Occupied,2016,2016,36211,703.0,"Bozeman City PUMA, MT",79500US3000500,bozeman-city-puma-mt
47,1,Renter Occupied,2016,2016,19317,720.0,"Bozeman City PUMA, MT",79500US3000500,bozeman-city-puma-mt
48,0,Owner Occupied,2015,2015,74712091,353420.0,United States,01000US,united-states
49,1,Renter Occupied,2015,2015,42214214,131004.0,United States,01000US,united-states
50,0,Owner Occupied,2015,2015,275063,2320.0,Montana,04000US30,montana
51,1,Renter Occupied,2015,2015,134331,1840.9999999999998,Montana,04000US30,montana
52,0,Owner Occupied,2015,2015,23556,476.0,"Gallatin County, MT",05000US30031,gallatin-county-mt
53,1,Renter Occupied,2015,2015,14736,653.0,"Gallatin County, MT",05000US30031,gallatin-county-mt
54,0,Owner Occupied,2015,2015,234,67.0,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
55,1,Renter Occupied,2015,2015,417,87.0,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
56,0,Owner Occupied,2015,2015,23556,476.0,"Bozeman, MT",31000US14580,bozeman-mt-31000US14580
